,duration_day,version_different
1,0.017453703703703704,1
24,129.12498842592592,1
47,212.8670138888889,6
55,0.10866898148148148,1
56,0.10866898148148148,1
63,2499.0041319444445,9
67,2499.0041319444445,9
68,2499.0041319444445,9
79,119.02284722222223,2
93,316.71523148148145,2
96,335.9993171296296,15
97,0.0061342592592592594,1
98,0.0061342592592592594,1
101,15.413148148148148,1
104,19.90284722222222,3
105,19.90284722222222,3
106,19.90284722222222,3
119,434.7826851851852,4
156,0.08518518518518518,1
168,861.3553125,5
169,861.3553125,5
170,861.3553125,5
178,26.56693287037037,1
186,259.25162037037035,6
187,384.3917824074074,12
188,1603.2958680555555,2
190,153.46402777777777,1
196,231.13371527777778,2
202,598.1130208333333,2
204,387.72987268518517,2
209,1501.1038078703705,2
229,135.79979166666666,3
232,6.58681712962963,2
233,6.58681712962963,2
234,6.58681712962963,2
235,6.58681712962963,2
240,208.41270833333334,1
241,208.41270833333334,1
259,86.0565625,3
266,100.74167824074074,2
267,914.7207523148148,23
268,914.7207523148148,23
269,914.7207523148148,23
270,383.1031134259259,6
277,1740.0702777777778,3
288,567.9993518518519,4
289,288.9223611111111,3
296,10.893333333333333,2
300,279.07699074074077,1
306,716.2756712962963,3
324,464.0151736111111,13
347,369.70769675925925,4
351,0.5982175925925926,1
368,316.71523148148145,2
370,476.0425925925926,1
382,9.61241898148148,4
384,178.22020833333335,1
385,171.1020949074074,2
386,171.1020949074074,2
395,73.05393518518518,9
415,4.994224537037037,2
423,446.42100694444446,1
424,66.61135416666667,1
425,66.61135416666667,1
428,0.4432175925925926,1
431,434.2341087962963,1
435,0.6175810185185185,3
439,52.212858796296295,2
450,147.0791087962963,7
454,0.6939814814814815,1
485,41.738252314814815,1
499,1476.0367939814814,3
517,502.3220486111111,29
518,502.3220486111111,29
520,502.3220486111111,29
